0.4	RT @ePURE_ethanol: The sustainable intensification of agriculture can help meet future EU food and #biofuels needs and mitigate #ILUC: http…
-0.4	@201579943MZI In South Africa, production of biofuels pose a threat to our food supply and food prices. Only 12% of SA land is 'farmable'.
-0.4	Shock scores: food burned as biofuel in EU cld feed 144 million people! Where's yr country?
-0.4	Sinus congestion only starts really sucking when you can't taste food anymore. 😠 #lame.... #labe
0.13333333333333333	RT @uoftmagazine: Not all biofuels cut into the food supply. @ChemEng_UofT’s clever solution aims to release sugar fuels from any plant htt…
0.8	.@Revkin @longnow Fun tidbit #2: we're still breaking crop yield records, so we find new uses: 1/3 of US corn crop used for biofuel
-0.06666666666666665	RT @DaveMyFace: 10% of the worlds arable land Used to grow crops for BIOFUELS Greens support growing for fuel in cars What ABOUT FOOD WTF A…
-0.26666666666666666	@NZ_Bioenergy @ethanolbob @EthanolRFA  Sadly, no cause for celebration. #Biofuels should come from #waste, NOT from #food #crops!
-0.4	RT @vickihird: @IIED wrong question. Why not using crops we grow now well? much goes to #animalfeed #biofuels #wasteandloss. Already enough…
0.0	Car ahead in traffic jam has sticker of marijuana leaf that says certified crop advisor. Should have a sticker that says cops pull me over
0.4	Spicy food + congestion = Clarity #HCUVA15
0.6	RT @ShizukaSam: Just realized I'll be in LA on 4/20. Great, the lines to all the food places are gonna be just another traffic jam to deal …
0.2	In other word absent biofuels policy biofuel production would n't ve increased dramatically and food prices would have risen only modestly.
0.4	Other countries play an important role as well. We argue that biofuels’ impact on food markets is all due to policy.
0.0	Biofuels policies have had various individual roles in affecting crop prices—varied in magnitude and direction over time—
0.0	There was a new and unique role of energy and environmental policies that created a link between biofuel and crop prices.
0.4	@montaguethecat So where are all these biofuel plants then? Growing other crops for biofuels has not been successful until now!
-0.09999999999999998	Hate sunday morning in Bandung. Traffic jam everywhere. Semarang has better Sunday Morning time. And food as well.
0.5	@montaguethecat Again, small is beautiful! Large scale use of biofuels from crops or wood chips not really environmental friendly!
-0.2	RT @CariOberfield: RT“@renergygreen: Organic, food and agricultural #waste can power homes, businesses and cars! #bioenergy #biofuels http:…
-0.2	4:21 stopped for food after traffic jam, moral is at an all time low
0.15000000000000002	RT @Bi3Healthcare: Food for thought - industries with higher perceived risk have a much better safety record than health care. #PSAW2015 ht…
-0.4	Haven't been to Ayala in ages and I did not miss the congestion. Shopping and food places only a little bit.
0.0	@vkhosla cld be prodced ADDITIONAL C for bioenergy PLUS >food, >#soil C seq,>fertility < AGR GHG w/out #iluc? #biogasdoneright #digestate
-0.6	I hate when you have such bad nose congestion that you can't taste your food
-0.1	@grist It's about gettting paid from BIG AgriBiz. However, dependence on corn/soybeans for biofuels harms food chain. Need focus on grasses.
0.0	Ditto for when they talk about beaches, mountains, progressive politics, traffic congestion, large trees, and Mexican food.
0.0	#Austin is a traffic jam of food trucks. #SXSW2015 #SXSW
0.0	RT @kumailinator: Well top of mind #WhenInGurgaon i usually hve this war of patience in the traffic jam. Bottom of it i hunt for gud food @…
0.0	@beachvetlbc @GMWatch @paulevans18 @peterdoodes GM addicts squeak ''more food' but are silent on biodiesel and the feed-meat complex.
-0.4	@KITV4 telephone pole fire behind Mom's Soul Food next to Neal Blaisdell Park, Waimalu, causes traffic jam and bus delays.
-0.1	@HuffPostGreen @RepTimRyan increase ethanol and biodiesel requirements.  this way farmers can still make money off of imperfect crops
-0.6	McDonald's food is frozen food it is food that causes cardiovascular congestion, destroying and clotting up millins of bodies.
-0.4000000000000001	RT @pbishop87: Fossil fuels pollute the air, nuclear waste, the ground. Wind turbines and solar panels kill birds. Biofuel wastes crop area…
